DATE,Open,High,Low,Close,Volume
2018-10-10,176.5664,176.6554,169.6138,169.8412,114471052.0
2018-10-11,169.1588,171.4929,165.9643,167.7347,143084463.0
2018-10-12,172.0764,172.9368,169.0528,172.4027,102078388.0
2018-10-15,171.7797,172.1258,169.6731,170.3159,64885255.0
2018-10-16,172.106,175.6961,171.7896,175.2708,71979688.0
2018-10-17,176.1807,176.2979,173.5401,175.3401,66987639.0
2018-10-18,174.6577,174.7368,170.5434,171.2753,82486208.0
2018-10-19,172.472,174.1335,170.494,171.117,82923733.0
2018-10-22,172.1456,173.321,170.6918,171.9973,52909281.0
2018-10-23,168.9116,172.2148,166.9632,171.3643,77566972.0
2018-10-24,171.2159,171.4533,163.2248,163.5215,102997449.0
2018-10-25,166.1424,170.1874,165.3215,169.1786,83481070.0
2018-10-26,163.4226,168.0907,162.4237,164.827,130970908.0
2018-10-29,167.2995,167.9918,158.3293,161.4347,111871933.0
2018-10-30,161.0094,164.2089,160.2331,164.0951,92583965.0
2018-10-31,166.6962,169.3665,166.6863,167.9522,73828635.0
2018-11-01,168.2094,170.3456,166.9237,170.1676,52706823.0
2018-11-02,169.6434,170.6522,166.3698,167.5171,75966781.0
2018-11-05,167.7445,167.794,165.2424,167.1017,39573533.0
2018-11-06,167.072,169.3072,166.8643,168.3676,34410390.0
2018-11-07,170.3555,173.6489,169.9797,173.6489,51169614.0
2018-11-08,172.8379,173.3739,171.7203,172.5412,40296538.0
2018-11-09,170.9291,171.3445,168.2885,169.6335,50602710.0
2018-11-12,168.4566,168.7632,164.3523,164.5006,62578371.0
2018-11-13,165.3116,167.616,164.1742,164.6391,64128079.0
2018-11-14,166.2413,166.8446,162.4435,163.383,75270714.0
2018-11-15,163.027,166.6863,161.6622,166.2413,73254349.0
2018-11-16,164.6589,166.4588,163.9567,165.6578,65390675.0
2018-11-19,164.9061,165.0644,159.7633,160.2776,67280478.0
2018-11-20,156.6282,159.6051,155.4018,157.4095,102652794.0
2018-11-21,159.5161,160.1886,157.481,158.6062,42965839.0
2018-11-23,157.3402,159.071,157.3402,157.4589,23503729.0
2018-11-26,159.6644,161.1776,158.9919,161.0985,42012633.0
2018-11-27,160.2182,162.0479,159.4073,161.6424,36608063.0
2018-11-28,162.8094,166.8446,161.674,166.8446,70140986.0
2018-11-29,166.1523,167.3984,164.9852,166.3006,44885711.0
2018-11-30,166.5281,167.6061,165.6973,167.5072,36722760.0
2018-12-03,171.1962,171.4039,167.6457,170.4346,50771695.0
2018-12-04,169.4951,170.0192,163.6995,163.8973,70594743.0
2018-12-06,160.6732,165.0742,159.9908,165.0545,71715526.0
2018-12-07,164.3028,165.2819,159.0908,159.6051,80432176.0
2018-12-10,159.338,161.9787,157.6567,161.2765,73960758.0
2018-12-11,163.838,163.9468,160.4457,161.8105,59058296.0
2018-12-12,164.2336,165.7567,163.1457,163.2347,53779992.0
2018-12-13,164.2336,164.9852,162.2259,163.2841,46377864.0
2018-12-14,161.3952,162.0083,158.9325,159.3084,56547419.0
2018-12-17,158.6457,159.8919,154.4524,155.6985,74834076.0
2018-12-18,156.9249,158.1908,155.3128,156.6776,63642120.0
2018-12-19,156.4996,158.9523,151.6535,152.8304,81856456.0
2018-12-20,152.4645,154.1557,148.7359,150.615,99002139.0
2018-12-21,151.3766,152.3952,145.1063,145.947,141129408.0
